t,p,rhoL,rhoV,hL,hV,delta_h,sL,sV,delta_s,vL,vV
351.0,16.733,570.64,116.1,1679.1,2556.8,877.6,3.791,5.1971,1.4061,1.752 43,8.6134
352.0,16.939,566.46,118.68,1687.5,2549.6,862.1,3.8039,5.1829,1.379,1.765 36,8.4257
353.0,17.147,562.15,121.37,1696.1,2542.3,846.2,3.817,5.1683,1.3514,1.778 88,8.239
354.0,17.358,557.72,124.17,1704.8,2534.6,829.8,3.8303,5.1534,1.3231,1.793 02,8.0533
355.0,17.57,553.14,127.09,1713.7,2526.6,812.9,3.8439,5.138,1.2942,1.807 86,7.8684
356.0,17.785,548.41,130.14,1722.8,2518.4,795.5,3.8577,5.1222,1.2645,1.823 47,7.6841
357.0,18.002,543.5,133.33,1732.2,2509.8,777.6,3.8719,5.1059,1.234,1.839 93,7.5003
358.0,18.221,538.41,136.67,1741.7,2500.8,759.0,3.8864,5.0891,1.2026,1.857 33,7.3168
359.0,18.442,533.11,140.19,1751.5,2491.4,739.8,3.9014,5.0717,1.1703,1.875 78,7.1332
360.0,18.666,527.59,143.9,1761.7,2481.5,719.8,3.9167,5.0536,1.1369,1.895 41,6.9493
361.0,18.892,521.82,147.82,1772.1,2471.1,699.0,3.9325,5.0347,1.1023,1.916 35,6.7649
362.0,19.121,515.79,151.99,1782.9,2460.2,677.3,3.9488,5.0151,1.0663,1.938 79,6.5795
363.0,19.352,509.45,156.43,1794.1,2448.6,654.5,3.9656,4.9945,1.0288,1.962 90,6.3925
364.0,19.585,502.78,161.2,1805.7,2436.2,630.5,3.9831,4.9727,0.9896,1.988 94,6.2035
365.0,19.821,495.74,166.35,1817.8,2422.9,605.2,4.0014,4.9497,0.9483,2.0172,6.0115
366.0,20.06,488.27,171.95,1830.5,2408.7,578.2,4.0205,4.9251,0.9046,2.0480,5.8157
367.0,20.302,480.29,178.11,1843.8,2393.1,549.2,4.0406,4.8986,0.858,2.0821,5.6145
368.0,20.546,471.67,184.98,1858.1,2375.9,517.8,4.0621,4.8697,0.8076,2.1201,5.4061
369.0,20.793,462.18,192.77,1873.5,2356.6,483.1,4.0853,4.8376,0.7523,2.1636,5.1875
370.0,21.044,451.43,201.84,1890.7,2334.5,443.8,4.1112,4.8012,0.6901,2.2152,4.9544
371.0,21.297,438.64,212.79,1910.6,2308.3,397.7,4.1412,4.7586,0.6175,2.2798,4.6995
372.0,21.554,422.26,226.84,1935.3,2275.5,340.3,4.1785,4.7059,0.5274,2.3682,4.4084
373.0,21.814,398.68,247.22,1969.7,2229.8,260.1,4.2308,4.6334,0.4026,2.5083,4.045
373.946,22.064,322.0,322.0,2084.3,2084.3,0.0,4.407,4.407,0.0,3.1056,3.1056
